Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Agatha Christie: The ABC Murders,PC,2016,Adventure,Microids,0.0,0.02,0.0,0.0,0.02
LEGO Marvel's Avengers,X360,2016,Action,Warner Bros. Interactive Entertainment,0.18,0.11,0.0,0.03,0.32
Resident Evil 4 HD,XOne,2016,Shooter,Capcom,0.02,0.0,0.0,0.0,0.02
Culdcept Revolt,3DS,2016,Strategy,Nintendo,0.0,0.0,0.06,0.0,0.06
Football Manager 2017,PC,2016,Simulation,Sega,0.0,0.09,0.0,0.01,0.09
Prison Architect,XOne,2016,Action,Introversion Software,0.01,0.0,0.0,0.0,0.01
Fast Racing Neo ,WiiU,2016,Action,Nintendo,0.0,0.01,0.0,0.0,0.01
MXGP 2,PS4,2016,Racing,Milestone S.r.l.,0.02,0.05,0.0,0.01,0.09
Assassin's Creed The Ezio Collection,PS4,2016,Action,Ubisoft,0.04,0.13,0.0,0.03,0.2
MXGP 2,XOne,2016,Racing,Milestone S.r.l.,0.03,0.02,0.0,0.01,0.06
Carmageddon: Max Damage,XOne,2016,Action,Stainless Games,0.01,0.01,0.0,0.0,0.02
Corpse Party: Back to School Edition,3DS,2016,Adventure,Xseed Games,0.05,0.0,0.0,0.01,0.06
Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing,Square Enix,0.07,0.09,0.15,0.03,0.33
Quantum Break,PC,2016,Action,Microsoft Game Studios,0.0,0.01,0.0,0.0,0.02
Overwatch,PC,2016,Shooter,Activision,0.25,0.24,0.0,0.04,0.53
Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016,Action,Nintendo,0.05,0.21,0.25,0.02,0.53
Skylanders Imaginators,PS3,2016,Platform,Activision,0.02,0.07,0.0,0.02,0.11
Fate/Extella: The Umbral Star,PS4,2016,Action,PQube,0.0,0.0,0.11,0.0,0.11
Cities: Skylines Snowfall,PC,2016,Simulation,Paradox Development,0.0,0.01,0.0,0.0,0.01
BioShock The Collection,XOne,2016,Shooter,Take-Two Interactive,0.08,0.06,0.0,0.01,0.16
Yakuza Kiwami,PS4,2016,Adventure,Sega,0.0,0.0,0.16,0.0,0.16
NASCAR Heat Evolution,XOne,2016,Racing,Dusenberry Martin Racing,0.03,0.0,0.0,0.0,0.04
The Legend of Heroes: Trails in the Sky Third Chapter,PSV,2016,Role-Playing,Nihon Falcom Corporation,0.0,0.0,0.02,0.0,0.02
Metal Gear Solid V: The Definitive Experience,PS4,2016,Action,Konami Digital Entertainment,0.01,0.02,0.01,0.0,0.04
WWE 2K17,X360,2016,Sports,Take-Two Interactive,0.05,0.04,0.0,0.01,0.11
Crows: Burning Edge,PS4,2016,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01
Goat Simulator,XOne,2016,Simulation,Koch Media,0.0,0.01,0.0,0.0,0.01
Assetto Corsa,XOne,2016,Racing,505 Games,0.0,0.01,0.0,0.0,0.02
Pac-Man Championship Edition 2 + Arcade Game Series,XOne,2016,Action,Namco Bandai Games,0.01,0.0,0.0,0.0,0.02
BlazBlue Central Fiction,PS3,2016,Fighting,PQube,0.02,0.02,0.02,0.01,0.06
World of Final Fantasy,PS4,2016,Role-Playing,Square Enix,0.08,0.14,0.08,0.04,0.33
Ys VIII: Lacrimosa of Dana,PSV,2016,Role-Playing,Nihon Falcom Corporation,0.0,0.0,0.09,0.0,0.09
Story of Seasons: Good Friends of the Three Villages,3DS,2016,Simulation,Marvelous Interactive,0.0,0.0,0.2,0.0,0.2
Valkyria Chronicles,PS4,2016,Role-Playing,Sega,0.07,0.05,0.05,0.03,0.2
Kamen Rider: Battride War Genesis,PS4,2016,Action,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
Atari Flashback Classics: Volume 2,XOne,2016,Misc,Atari,0.02,0.0,0.0,0.0,0.02
NHL 17,PS4,2016,Sports,Electronic Arts,0.19,0.08,0.0,0.06,0.33
Street Fighter V,PC,2016,Fighting,Capcom,0.0,0.05,0.0,0.0,0.06
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016,Action,Nintendo,0.07,0.14,0.11,0.02,0.34
Lego Star Wars: The Force Awakens,PSV,2016,Action,Warner Bros. Interactive Entertainment,0.01,0.06,0.01,0.02,0.1
Skylanders Imaginators,XOne,2016,Platform,Activision,0.05,0.04,0.0,0.01,0.1
NBA 2K17,PC,2016,Sports,Take-Two Interactive,0.0,0.01,0.0,0.0,0.01
The Heavy Rain and Beyond: Two Souls Collection,PS4,2016,Action,Sony Computer Entertainment,0.0,0.17,0.0,0.03,0.2
Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,Nippon Ichi Software,0.07,0.04,0.07,0.02,0.2
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.41,0.45,0.11,0.17,1.14
Hakuoki: Shinkai - Hana no Shou,PSV,2016,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
ZombiU,PS4,2016,Action,Ubisoft,0.0,0.04,0.01,0.01,0.06
TrackMania Turbo,PS4,2016,Action,Ubisoft,0.03,0.26,0.0,0.05,0.35
Doraemon: Shin Nobita no Nihon Tanjou,3DS,2016,Misc,FuRyu,0.0,0.0,0.04,0.0,0.04
Lego Star Wars: The Force Awakens,PS3,2016,Action,Warner Bros. Interactive Entertainment,0.04,0.1,0.0,0.03,0.16
Persona 5,PS3,2016,Role-Playing,Unknown,0.0,0.0,0.11,0.0,0.11
Valentino Rossi: The Game,PC,2016,Racing,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01
Dead Rising,XOne,2016,Action,Capcom,0.01,0.0,0.0,0.0,0.01
Dragon Ball: Xenoverse 2,XOne,2016,Action,Namco Bandai Games,0.11,0.07,0.0,0.02,0.2
Rocket League,PC,2016,Sports,505 Games,0.01,0.04,0.0,0.0,0.06
Touhou Genso Rondo: Bullet Ballet,PS4,2016,Shooter,Nippon Ichi Software,0.02,0.0,0.0,0.0,0.02
